Country Code,2013 internet users,Country Name,2013 internet user %, 2013 pop ,notes,,GA results,lookup
MWI,883579,Malawi,5%," 16,362,567 ",,,UZB,
ECU,6350814,Ecuador,40%," 15,737,878 ",,,LBN,
GTM,3047236,Guatemala,20%," 15,468,203 ",,,CIV,
MLI,351938,Mali,2%," 15,301,650 ",,,GEO,
KHM,908110,Cambodia,6%," 15,135,169 ",,,JAM,
ZMB,2238951,Zambia,15%," 14,538,640 ",,,XKX,True
ZWE,2617685,Zimbabwe,19%," 14,149,648 ",,,TZA,
SEN,2953856,Senegal,21%," 14,133,280 ",,,UGA,
TCD,294982,Chad,2%," 12,825,314 ",,,GIB,True
RWA,1024557,Rwanda,9%," 11,776,522 ",,,MNE,
GIN,187923,Guinea,2%," 11,745,189 ",,,PRY,
SSD,2372196,South Sudan,21%," 11,296,173 ","2012, wikipedia",,SEN,
CUB,2896273,Cuba,26%," 11,265,629 ",,,ALB,
BEL,9199067,Belgium,82%," 11,195,138 ",,,REU,True
GRC,6604647,Greece,60%," 11,032,328 ",,,CUW,
TUN,4768287,Tunisia,44%," 10,886,500 ",,,HND,
BOL,4215124,Bolivia,40%," 10,671,200 ",,,MAC,
CZE,7797502,Czech Republic,74%," 10,521,468 ",,,MDG,
SOM,157434,Somalia,2%," 10,495,583 ",,,PSE,
PRT,6495079,Portugal,62%," 10,459,806 ",,,TTO,
DOM,4775326,Dominican Republic,46%," 10,403,761 ",,,MUS,
BEN,505850,Benin,5%," 10,323,474 ",,,BRB,
HTI,1093651,Haiti,11%," 10,317,461 ",,,CMR,
BDI,132113,Burundi,1%," 10,162,532 ",,,STP,
HUN,7189746,Hungary,73%," 9,897,247 ",,,TJK,
SWE,9092166,Sweden,95%," 9,592,552 ",,,MDV,
BLR,5127732,Belarus,54%," 9,466,000 ",,,SDN,
AZE,5527543,Azerbaijan,59%," 9,416,598 ",,,SYR,
ARE,8224594,United Arab Emirates,88%," 9,346,129 ",,,ALA,True
AUT,6831465,Austria,81%," 8,473,786 ",,,BLZ,
TJK,1313253,Tajikistan,16%," 8,207,834 ",,,BEN,
HND,1441388,Honduras,18%," 8,097,688 ",,,CPV,
CHE,7006645,Switzerland,87%," 8,081,482 ",,,FRO,
ISR,5706055,Israel,71%," 8,059,400 ",,,KWT,
PNG,475882,Papua New Guinea,7%," 7,321,262 ",,,VIR,
BGR,3854979,Bulgaria,53%," 7,265,115 ",,,ZWE,
